crop,days_since_planting,stage,suggested_task
paddy,56,Vegetative,Apply fertilizer and irrigation
paddy,14,Nursery Phase,Water nursery regularly
paddy,5,Sowing,Prepare nursery bed
paddy,61,Flowering,Monitor for pests and diseases
paddy,63,Flowering,Monitor for pests and diseases
paddy,6,Sowing,Prepare nursery bed
paddy,70,Flowering,Monitor for pests and diseases
paddy,59,Vegetative,Apply fertilizer and irrigation
paddy,2,Sowing,Prepare nursery bed
paddy,5,Sowing,Prepare nursery bed
paddy,47,Vegetative,Apply fertilizer and irrigation
paddy,29,Transplantation,Transplant seedlings to field
paddy,5,Sowing,Prepare nursery bed
paddy,19,Nursery Phase,Water nursery regularly
paddy,8,Sowing,Prepare nursery bed
paddy,25,Transplantation,Transplant seedlings to field
paddy,23,Transplantation,Transplant seedlings to field
paddy,38,Vegetative,Apply fertilizer and irrigation
paddy,3,Sowing,Prepare nursery bed
paddy,44,Vegetative,Apply fertilizer and irrigation
paddy,52,Vegetative,Apply fertilizer and irrigation
paddy,35,Vegetative,Apply fertilizer and irrigation
paddy,1,Sowing,Prepare nursery bed
paddy,3,Sowing,Prepare nursery bed
paddy,75,Flowering,Monitor for pests and diseases
paddy,2,Sowing,Prepare nursery bed
paddy,29,Transplantation,Transplant seedlings to field
paddy,85,Flowering,Monitor for pests and diseases
paddy,28,Transplantation,Transplant seedlings to field
paddy,26,Transplantation,Transplant seedlings to field
paddy,10,Nursery Phase,Water nursery regularly
paddy,22,Transplantation,Transplant seedlings to field
paddy,54,Vegetative,Apply fertilizer and irrigation
paddy,25,Transplantation,Transplant seedlings to field
paddy,7,Sowing,Prepare nursery bed
paddy,9,Sowing,Prepare nursery bed
paddy,25,Transplantation,Transplant seedlings to field
paddy,14,Nursery Phase,Water nursery regularly
paddy,25,Transplantation,Transplant seedlings to field
paddy,6,Sowing,Prepare nursery bed
paddy,57,Vegetative,Apply fertilizer and irrigation
paddy,27,Transplantation,Transplant seedlings to field
paddy,18,Nursery Phase,Water nursery regularly
paddy,76,Flowering,Monitor for pests and diseases
paddy,40,Vegetative,Apply fertilizer and irrigation
paddy,66,Flowering,Monitor for pests and diseases
paddy,76,Flowering,Monitor for pests and diseases
paddy,19,Nursery Phase,Water nursery regularly
paddy,90,Flowering,Monitor for pests and diseases
paddy,2,Sowing,Prepare nursery bed
paddy,29,Transplantation,Transplant seedlings to field
paddy,59,Vegetative,Apply fertilizer and irrigation
paddy,60,Flowering,Monitor for pests and diseases
paddy,48,Vegetative,Apply fertilizer and irrigation
paddy,63,Flowering,Monitor for pests and diseases
paddy,16,Nursery Phase,Water nursery regularly
paddy,44,Vegetative,Apply fertilizer and irrigation
paddy,6,Sowing,Prepare nursery bed
paddy,59,Vegetative,Apply fertilizer and irrigation
paddy,14,Nursery Phase,Water nursery regularly
paddy,24,Transplantation,Transplant seedlings to field
paddy,24,Transplantation,Transplant seedlings to field
paddy,75,Flowering,Monitor for pests and diseases
paddy,87,Flowering,Monitor for pests and diseases
paddy,13,Nursery Phase,Water nursery regularly
paddy,23,Transplantation,Transplant seedlings to field
paddy,30,Vegetative,Apply fertilizer and irrigation
paddy,60,Flowering,Monitor for pests and diseases
paddy,23,Transplantation,Transplant seedlings to field
paddy,25,Transplantation,Transplant seedlings to field
paddy,16,Nursery Phase,Water nursery regularly
paddy,23,Transplantation,Transplant seedlings to field
paddy,73,Flowering,Monitor for pests and diseases
paddy,42,Vegetative,Apply fertilizer and irrigation
paddy,78,Flowering,Monitor for pests and diseases
paddy,2,Sowing,Prepare nursery bed
paddy,10,Nursery Phase,Water nursery regularly
paddy,53,Vegetative,Apply fertilizer and irrigation
paddy,6,Sowing,Prepare nursery bed
paddy,25,Transplantation,Transplant seedlings to field
paddy,22,Transplantation,Transplant seedlings to field
paddy,50,Vegetative,Apply fertilizer and irrigation
paddy,16,Nursery Phase,Water nursery regularly
paddy,11,Nursery Phase,Water nursery regularly
paddy,14,Nursery Phase,Water nursery regularly
paddy,17,Nursery Phase,Water nursery regularly
paddy,16,Nursery Phase,Water nursery regularly
paddy,3,Sowing,Prepare nursery bed
paddy,45,Vegetative,Apply fertilizer and irrigation
paddy,0,Sowing,Prepare nursery bed
paddy,3,Sowing,Prepare nursery bed
paddy,40,Vegetative,Apply fertilizer and irrigation
paddy,9,Sowing,Prepare nursery bed
paddy,40,Vegetative,Apply fertilizer and irrigation
paddy,29,Transplantation,Transplant seedlings to field
paddy,5,Sowing,Prepare nursery bed
paddy,39,Vegetative,Apply fertilizer and irrigation
paddy,8,Sowing,Prepare nursery bed
paddy,17,Nursery Phase,Water nursery regularly
paddy,10,Nursery Phase,Water nursery regularly
maize,2,Germination,Keep soil moist
maize,67,Silking,Protect from pests
maize,54,Silking,Protect from pests
maize,80,Maturity,Prepare for harvest
maize,96,Maturity,Prepare for harvest
maize,55,Silking,Protect from pests
maize,30,Vegetative,Apply nitrogen fertilizer
maize,44,Tasseling,Ensure proper pollination
maize,63,Silking,Protect from pests
maize,69,Silking,Protect from pests
maize,0,Germination,Keep soil moist
maize,36,Tasseling,Ensure proper pollination
maize,31,Tasseling,Ensure proper pollination
maize,61,Silking,Protect from pests
maize,71,Maturity,Prepare for harvest
maize,0,Germination,Keep soil moist
maize,46,Tasseling,Ensure proper pollination
maize,14,Vegetative,Apply nitrogen fertilizer
maize,69,Silking,Protect from pests
maize,46,Tasseling,Ensure proper pollination
maize,92,Maturity,Prepare for harvest
maize,56,Silking,Protect from pests
maize,48,Tasseling,Ensure proper pollination
maize,50,Tasseling,Ensure proper pollination
maize,4,Germination,Keep soil moist
maize,12,Vegetative,Apply nitrogen fertilizer
maize,47,Tasseling,Ensure proper pollination
maize,63,Silking,Protect from pests
maize,23,Vegetative,Apply nitrogen fertilizer
maize,17,Vegetative,Apply nitrogen fertilizer
maize,26,Vegetative,Apply nitrogen fertilizer
maize,47,Tasseling,Ensure proper pollination
maize,15,Vegetative,Apply nitrogen fertilizer
maize,1,Germination,Keep soil moist
maize,49,Tasseling,Ensure proper pollination
maize,45,Tasseling,Ensure proper pollination
maize,25,Vegetative,Apply nitrogen fertilizer
maize,40,Tasseling,Ensure proper pollination
maize,19,Vegetative,Apply nitrogen fertilizer
maize,65,Silking,Protect from pests
maize,5,Germination,Keep soil moist
maize,31,Tasseling,Ensure proper pollination
maize,80,Maturity,Prepare for harvest
maize,93,Maturity,Prepare for harvest
maize,90,Maturity,Prepare for harvest
maize,8,Vegetative,Apply nitrogen fertilizer
maize,24,Vegetative,Apply nitrogen fertilizer
maize,3,Germination,Keep soil moist
maize,86,Maturity,Prepare for harvest
maize,65,Silking,Protect from pests
maize,24,Vegetative,Apply nitrogen fertilizer
maize,0,Germination,Keep soil moist
maize,57,Silking,Protect from pests
maize,59,Silking,Protect from pests
maize,88,Maturity,Prepare for harvest
maize,1,Germination,Keep soil moist
maize,52,Silking,Protect from pests
